"id","fuel_type_code","station_name","street_address","intersection_directions","city","state","zip","plus4","station_phone","status_code","expected_date","groups_with_access_code","access_days_time","cards_accepted","bd_blends","ng_fill_type_code","ng_psi","ev_level1_evse_num","ev_level2_evse_num","ev_dc_fast_count","ev_other_info","ev_network","ev_network_web","geocode_status","latitude","longitude","date_last_confirmed","updated_at","owner_type_code","federal_agency_id","federal_agency_name","open_date","hydrogen_status_link","ng_vehicle_class","lpg_primary","e85_blender_pump","location"
"13050","LPG","AmeriGas","700 County Highway H","Route 12 exit","Elkhorn","WI","53121",,"262-723-7410","E",,"Private - Fleet customers only","Contact AmeriGas to set up fueling arrangements",,,,,,,,,,,"200-9","42.660919","-88.522923","2023-09-14T00:00:00.000","2024-02-16T12:31:17.000Z","P",,,"1999-05-11T00:00:00.000",,,"false",,"(42.660919, -88.522923)"
"19794","LPG","U-Haul","1861 US Route 41","South of Route 30","Schererville","IN","46375",,"219-322-2043","E",,"Public","7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun","A Cash Checks D M V",,,,,,,,,,"200-9","41.488621","-87.470114","2023-11-09T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2000-11-01T00:00:00.000",,,"true",,"(41.488621, -87.470114)"
"19916","LPG","U-Haul","1560 Mount Prospect Rd","Corner of Oakton and Mt. Prospect, between 83 and Manheim","Des Plaines","IL","60018",,"847-298-1170","E",,"Public","7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun","A Cash D M V",,,,,,,,,,"GPS","42.02364882070916","-87.92126835581973","2024-01-09T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2000-11-01T00:00:00.000",,,"true",,"(42.02364882070916, -87.92126835581973)"
"19918","LPG","U-Haul","2125 Dempster St","Between Dodge and McCormick","Evanston","IL","60201",,"847-864-8877","E",,"Public","7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun","A Cash D M V",,,,,,,,,,"200-9","42.041376","-87.703147","2024-01-09T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2000-11-01T00:00:00.000",,,"false",,"(42.041376, -87.703147)"
"19919","LPG","U-Haul","2915 W 159th St",,"Markham","IL","60428",,"708-333-7840","E",,"Public","7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun","A Cash D M V",,,,,,,,,,"200-9","41.600255","-87.688178","2024-01-09T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2000-11-01T00:00:00.000",,,"true",,"(41.600255, -87.688178)"
"19920","LPG","U-Haul","8900 S Cicero Ave","East of Cicero Ave","Oak Lawn","IL","60453",,"708-422-2332","E",,"Public","7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun","A Cash D M V",,,,,,,,,,"200-9","41.720593","-87.737454","2024-01-09T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2000-11-01T00:00:00.000",,,"true",,"(41.720593, -87.737454)"
"19924","LPG","U-Haul","1700 N Cicero Ave","Between North and Grand","Chicago","IL","60639",,"773-889-8194","E",,"Public","7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun","A Cash D M V",,,,,,,,,,"200-9","41.911872","-87.746203","2024-01-09T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2000-11-01T00:00:00.000",,,"true",,"(41.911872, -87.746203)"
"19925","LPG","U-Haul","4301 N Cicero Ave",,"Chicago","IL","60641",,"773-286-4507","E",,"Public","7am-7pm M-Th and Sat, 7am-8pm F, 8am-6pm Sun","A Cash D M V",,,,,,,,,,"200-8","41.958921","-87.74721","2024-01-09T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2000-11-01T00:00:00.000",,,"true",,"(41.958921, -87.74721)"
"19926","LPG","U-Haul","1650 E 71st St","At Stoney Island","Chicago","IL","60649",,"773-493-1206  708-389-0852","E",,"Public","7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun","A Cash D M V",,,,,,,,,,"200-8","41.766351","-87.583615","2024-01-09T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2000-11-01T00:00:00.000",,,"true",,"(41.766351, -87.583615)"
"19927","LPG","U-Haul","5027 W Cermak Rd","West of Cicero Ave before Laramie","Cicero","IL","60804",,"708-656-8890","E",,"Public","7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun","A Cash D M V",,,,,,,,,,"200-9","41.850832","-87.750927","2024-01-09T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2000-11-01T00:00:00.000",,,"true",,"(41.850832, -87.750927)"
