"beach_name","measurement_timestamp","water_temperature","turbidity","transducer_depth","wave_height","wave_period","battery_life","measurement_timestamp_label","measurement_id"
"Ohio Street Beach","2024-05-10T01:00:00.000","22.6","1.36",,"0","5.9","11.9","05/10/2024 1:00 AM","OhioStreetBeach202405100100"
"Ohio Street Beach","2024-05-10T00:00:00.000","22.6","1.2",,"0","6.5","12","05/10/2024 12:00 AM","OhioStreetBeach202405102400"
"Ohio Street Beach","2024-05-09T23:00:00.000","22.7","1.01",,"0","5.7","12","05/09/2024 11:00 PM","OhioStreetBeach202405092300"
"Ohio Street Beach","2024-05-09T22:00:00.000","22.6","0.88",,"0","6.3","12","05/09/2024 10:00 PM","OhioStreetBeach202405092200"
"Ohio Street Beach","2024-05-09T21:00:00.000","22.6","1.14",,"0","6.4","12","05/09/2024 9:00 PM","OhioStreetBeach202405092100"
"Ohio Street Beach","2024-05-09T20:00:00.000","22.6","0.99",,"0","6.4","12","05/09/2024 8:00 PM","OhioStreetBeach202405092000"
"Ohio Street Beach","2024-05-09T19:00:00.000","22.6","1.32",,"0","6.4","12.1","05/09/2024 7:00 PM","OhioStreetBeach202405091900"
"Ohio Street Beach","2024-05-09T18:00:00.000","22.7","1.08",,"0","6.4","12.1","05/09/2024 6:00 PM","OhioStreetBeach202405091800"
"Ohio Street Beach","2024-05-09T17:00:00.000","22.8","0.99",,"0","6.4","12.1","05/09/2024 5:00 PM","OhioStreetBeach202405091700"
"Ohio Street Beach","2024-05-09T16:00:00.000","22.8","1.27",,"0","6.3","12.1","05/09/2024 4:00 PM","OhioStreetBeach202405091600"
"Ohio Street Beach","2024-05-09T15:00:00.000","22.8","1.05",,"0","6.4","12","05/09/2024 3:00 PM","OhioStreetBeach202405091500"
"Ohio Street Beach","2024-05-09T14:00:00.000","22.7","0.87",,"0","6.3","12.1","05/09/2024 2:00 PM","OhioStreetBeach202405091400"
"Ohio Street Beach","2024-05-09T13:00:00.000","22.6","1.15",,"0","6.3","12.1","05/09/2024 1:00 PM","OhioStreetBeach202405091300"
"Ohio Street Beach","2024-05-09T12:00:00.000","22.6","0.98",,"0","6.3","12.1","05/09/2024 12:00 PM","OhioStreetBeach202405091200"
"Ohio Street Beach","2024-05-09T11:00:00.000","22.5","1.32",,"0","6.5","12","05/09/2024 11:00 AM","OhioStreetBeach202405091100"
"Ohio Street Beach","2024-05-09T10:00:00.000","22.6","1.09",,"0","5.9","12.1","05/09/2024 10:00 AM","OhioStreetBeach202405091000"
"Ohio Street Beach","2024-05-09T09:00:00.000","22.6","0.92",,"0","6.4","12.1","05/09/2024 9:00 AM","OhioStreetBeach202405090900"
"Ohio Street Beach","2024-05-09T08:00:00.000","22.5","1.25",,"0","6.6","12","05/09/2024 8:00 AM","OhioStreetBeach202405090800"
"Ohio Street Beach","2024-05-09T07:00:00.000","22.5","1.03",,"0","6.4","12","05/09/2024 7:00 AM","OhioStreetBeach202405090700"
"Ohio Street Beach","2024-05-09T06:00:00.000","22.5","0.88",,"0","6.3","12","05/09/2024 6:00 AM","OhioStreetBeach202405090600"
"Ohio Street Beach","2024-05-09T05:00:00.000","22.4","1.17",,"0","6.6","11.8","05/09/2024 5:00 AM","OhioStreetBeach202405090500"
"Ohio Street Beach","2024-05-09T04:00:00.000","22.5","0.97",,"0","5.9","12","05/09/2024 4:00 AM","OhioStreetBeach202405090400"
"Ohio Street Beach","2024-05-09T03:00:00.000","22.5","0.86",,"0","6.4","12.1","05/09/2024 3:00 AM","OhioStreetBeach202405090300"
"Ohio Street Beach","2024-05-09T02:00:00.000","22.5","1.17",,"0","6.4","12.2","05/09/2024 2:00 AM","OhioStreetBeach202405090200"
"Ohio Street Beach","2024-05-09T01:00:00.000","22.5","1.01",,"0","6.4","12.2","05/09/2024 1:00 AM","OhioStreetBeach202405090100"
"Ohio Street Beach","2024-05-09T00:00:00.000","22.5","0.87",,"0","6.4","12.1","05/09/2024 12:00 AM","OhioStreetBeach202405092400"
"Ohio Street Beach","2024-05-08T23:00:00.000","22.5","1.2",,"0","6.2","12.2","05/08/2024 11:00 PM","OhioStreetBeach202405082300"
"Ohio Street Beach","2024-05-08T22:00:00.000","22.5","1.07",,"0","6.4","12.2","05/08/2024 10:00 PM","OhioStreetBeach202405082200"
"Ohio Street Beach","2024-05-08T21:00:00.000","22.5","0.96",,"0","6","12.1","05/08/2024 9:00 PM","OhioStreetBeach202405082100"
"Ohio Street Beach","2024-05-08T20:00:00.000","22.3","1.28",,"0","6.2","12.2","05/08/2024 8:00 PM","OhioStreetBeach202405082000"
"Ohio Street Beach","2024-05-08T19:00:00.000","22.3","1.14",,"0","6.1","12.1","05/08/2024 7:00 PM","OhioStreetBeach202405081900"
"Ohio Street Beach","2024-05-08T18:00:00.000","22.3","1.01",,"0","6.2","12.2","05/08/2024 6:00 PM","OhioStreetBeach202405081800"
"Ohio Street Beach","2024-05-08T17:00:00.000","22.3","0.87",,"0","6.3","11.9","05/08/2024 5:00 PM","OhioStreetBeach202405081700"
"Ohio Street Beach","2024-05-08T16:00:00.000","22.4","1.2",,"0","6.4","11.8","05/08/2024 4:00 PM","OhioStreetBeach202405081600"
"Ohio Street Beach","2024-05-08T15:00:00.000","22.5","1.07",,"0","6.6","11.6","05/08/2024 3:00 PM","OhioStreetBeach202405081500"
"Ohio Street Beach","2024-05-08T13:00:00.000","22.9","1.18",,"0","6.2","11.8","05/08/2024 1:00 PM","OhioStreetBeach202405081300"
"Ohio Street Beach","2024-05-08T12:00:00.000","23.1","1",,"0","6.5","12","05/08/2024 12:00 PM","OhioStreetBeach202405081200"
"Ohio Street Beach","2024-05-08T11:00:00.000","23.4","1.01",,"0","6.3","12.3","05/08/2024 11:00 AM","OhioStreetBeach202405081100"
"Ohio Street Beach","2024-05-08T10:00:00.000","23.6","0.96",,"0","6.4","12","05/08/2024 10:00 AM","OhioStreetBeach202405081000"
"Ohio Street Beach","2024-05-08T09:00:00.000","23.8","0.92",,"0","6.4","11.7","05/08/2024 9:00 AM","OhioStreetBeach202405080900"
