"id","violation_last_modified_date","violation_date","violation_code","violation_status","violation_status_date","violation_description","violation_location","violation_inspector_comments","violation_ordinance","inspector_id","inspection_number","inspection_status","inspection_waived","inspection_category","department_bureau","address","street_number","street_direction","street_name","street_type","property_group","ssa","latitude","longitude","location"
"7160460","2024-05-08T09:24:37.000","2024-05-08T00:00:00.000","EL1885","OPEN",,,,"PULL ELECTRICAL PERMIT TO CORRECT VIOLATIONS 14A-4-404.6",,"196492","14330144","FAILED","N","COMPLAINT","CONSERVATION","5555 S MERRIMAC AVE","5555","S","MERRIMAC","AVE","357441",,"41.790792992","-87.777946028","
,  
(41.790792991767724, -87.77794602801137)"
"7160614","2024-05-08T13:12:03.000","2024-05-08T00:00:00.000","VT1010","OPEN",,"ARRANGE COMPLETED PERMIT INSP.",,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)","BL00781","14330347","FAILED","N","PERMIT","VENTILATION","1676 W BRYN MAWR AVE","1676","W","BRYN MAWR","AVE","210097",,"41.98353604","-87.672898174","
,  
(41.98353603975336, -87.67289817361204)"
"7160276","2024-05-08T08:05:15.000","2024-05-08T00:00:00.000","EL1857","OPEN",,"SMOKE & CARBON DETECTORS",,"THROUGHOUT","Install required smoke and carbon monoxide detectors. (14E-5-570.10(h)(i))","196492","14330144","FAILED","N","COMPLAINT","CONSERVATION","5555 S MERRIMAC AVE","5555","S","MERRIMAC","AVE","357441",,"41.790792992","-87.777946028","
,  
(41.790792991767724, -87.77794602801137)"
"7160711","2024-05-08T14:52:33.000","2024-05-08T00:00:00.000","EL1857","OPEN",,"SMOKE & CARBON DETECTORS",,,"Install required smoke and carbon monoxide detectors. (14E-5-570.10(h)(i))","76706","14234036","FAILED","N","COMPLAINT","ELECTRICAL","7860 W CAHILL TER","7860","W","CAHILL","TER","160404",,"41.946110959","-87.82458543","
,  
(41.94611095914694, -87.82458543029057)"
"7160602","2024-05-08T12:58:25.000","2024-05-08T00:00:00.000","VT1010","OPEN",,"ARRANGE COMPLETED PERMIT INSP.",,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)","BL00781","14330339","FAILED","N","PERMIT","VENTILATION","1676 W BRYN MAWR AVE","1676","W","BRYN MAWR","AVE","210097",,"41.98353604","-87.672898174","
,  
(41.98353603975336, -87.67289817361204)"
"7160273","2024-05-08T08:03:54.000","2024-05-08T00:00:00.000","EL1834","OPEN",,"LISTED FOR USE TEMP & LOCATION",,"EXTERIOR BOXES AND FITTINGS","Electrical equipment shall be listed for use, temperature and location.(14E-1-110.2(B), 14E-1-110.11)","196492","14330144","FAILED","N","COMPLAINT","CONSERVATION","5555 S MERRIMAC AVE","5555","S","MERRIMAC","AVE","357441",,"41.790792992","-87.777946028","
,  
(41.790792991767724, -87.77794602801137)"
"7160722","2024-05-08T15:01:31.000","2024-05-08T00:00:00.000","PL151137","OPEN",,"OPEN",,,,"400200","14325693","FAILED","N","PERMIT","PLUMBING","34 E 104TH ST","34","E","104TH","ST","499187","41","41.705470979","-87.622120707","
,  
(41.705470978699445, -87.62212070748434)"
"7160655","2024-05-08T13:51:04.000","2024-05-08T00:00:00.000","CN190019","OPEN",,"ARRANGE PREMISE INSPECTION","OTHER   :    :..,","INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS.","Arrange for inspection of premises. (13-12-100)","451988","12935165","FAILED","N","PERIODIC","CONSERVATION","2112 S MICHIGAN AVE","2112","S","MICHIGAN","AVE","15925",,"41.853846555","-87.623987627","
,  
(41.85384655482952, -87.62398762653795)"
"7160759","2024-05-08T16:20:55.000","2024-05-08T00:00:00.000","BR1001","OPEN",,"OWNER OR LICENSED CONTRACTOR",,,"The code violations listed below must be corrected within 15 days of receipt of this notice. The owner or the contractor who does the work must sign, date, and return this notice or a copy to indicate that the work is done to the Boiler Inspection Bureau.","202808","14208043","CLOSED","N","PERIODIC","BOILER","1401 E 55TH ST","1401","E","55TH","ST","19138",,"41.795399912","-87.591625909","
,  
(41.79539991193184, -87.59162590876223)"
"7160644","2024-05-08T13:40:00.000","2024-05-08T00:00:00.000","VT1010","OPEN",,"ARRANGE COMPLETED PERMIT INSP.",,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)","BL00781","14245798","FAILED","N","PERMIT","VENTILATION","1676 W BRYN MAWR AVE","1676","W","BRYN MAWR","AVE","210097",,"41.98353604","-87.672898174","
,  
(41.98353603975336, -87.67289817361204)"
"7160724","2024-05-08T14:14:45.000","2024-05-08T00:00:00.000","CN190029","OPEN",,"ARRANGE FOR REINSPECTION REGAR","INTERIOR:001 :","INTERIOR OF BUILDING , NO ENTRY NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS.","pending notice reinspection","BL00904","14330438","FAILED","N","COMPLAINT","CONSERVATION","3756 S HERMITAGE AVE","3756","S","HERMITAGE","AVE","25149",,"41.825126877","-87.669183693","
,  
(41.82512687676253, -87.66918369265863)"
"7160218","2024-05-08T07:01:15.000","2024-05-08T00:00:00.000","CN190019","OPEN",,"ARRANGE PREMISE INSPECTION","OTHER   :    :OTHER","NO ENTRY TO BASEMENT.","Arrange for inspection of premises. (13-12-100)","196492","14330144","FAILED","N","COMPLAINT","CONSERVATION","5555 S MERRIMAC AVE","5555","S","MERRIMAC","AVE","357441",,"41.790792992","-87.777946028","
,  
(41.790792991767724, -87.77794602801137)"
"7160657","2024-05-08T13:51:04.000","2024-05-08T00:00:00.000","CN065034","OPEN",,"REPAIR WINDOW SILLS","OTHER   :    :OTHER","FRONT ELEVATION /WINDOW SILLS - CRACKED, CRUMBLING PARGE COAT.","Failed to maintain window sill in good repair and free from cracks and defects.  (13-196-530(e), 13-196-550, 13-196-641)","451988","12935165","FAILED","N","PERIODIC","CONSERVATION","2112 S MICHIGAN AVE","2112","S","MICHIGAN","AVE","15925",,"41.853846555","-87.623987627","
,  
(41.85384655482952, -87.62398762653795)"
