"id","license_id","account_number","site_number","legal_name","doing_business_as_name","address","city","state","zip_code","ward","precinct","ward_precinct","police_district","license_code","license_description","business_activity_id","business_activity","license_number","application_type","application_created_date","application_requirements_complete","payment_date","conditional_approval","license_start_date","expiration_date","license_approved_for_issuance","date_issued","license_status","license_status_change_date","ssa","latitude","longitude","location"
"16570-20000216","76522","51755","1","THORNDALE CONSTRUCTION","THORNDALE CONSTRUCTION","11243  CHESAPEAKE PLAC   1ST","WESTCHESTER","IL","60154",,,,,"1010","Limited Business License",,,"16570","RENEW",,"2000-06-16T00:00:00.000","2009-08-21T00:00:00.000","N","2000-02-16T00:00:00.000","2001-02-15T00:00:00.000","2003-12-22T00:00:00.000","2009-08-24T00:00:00.000","AAI",,,,,
"25710-19960216","119268","52896","1","PAT HAMILTON, INC","PAT HAMILTON CO.","17021 S MAGNOLIA DR  1ST","HAZEL CREST","IL","60429",,,,,"1010","Limited Business License",,,"25710","ISSUE",,"2000-06-20T00:00:00.000",,"N","1996-02-16T00:00:00.000","1997-02-15T00:00:00.000","2003-12-22T00:00:00.000","2006-04-12T00:00:00.000","AAI",,,,,
"2354557-20160916","2479692","287477","2","AMERICAN ARBITRATION ASSOCIATION, INC.","AMERICAN ARBITRATION ASSOCIATION, INC.","150 N MICHIGAN AVE 30TH 3050","CHICAGO","IL","60601","34","9","34-9","1","1010","Limited Business License","602","Administrative Commercial Office","2354557","RENEW",,"2016-07-15T00:00:00.000","2016-08-29T00:00:00.000","N","2016-09-16T00:00:00.000","2018-09-15T00:00:00.000","2016-08-29T00:00:00.000","2016-08-30T00:00:00.000","AAI",,,"41.884530964","-87.624602045","
,  
(41.88453096378336, -87.62460204460082)"
"53383-20150316","2375632","38691","1","MEE INC","MEE INC","11845 W LARAWAY RD  1","FRANKFORT","IL","60423",,,,,"1010","Limited Business License",,,"53383","RENEW",,"2015-01-16T00:00:00.000","2015-03-12T00:00:00.000","N","2015-03-16T00:00:00.000","2017-03-15T00:00:00.000","2015-03-12T00:00:00.000","2015-03-13T00:00:00.000","AAI",,,,,
"1847540-20090116","1940503","89020","45","FEDEX OFFICE AND PRINT SERVICES, INC.","FEDEX OFFICE AND PRINT SVCS, INC.","2301 S DR MARTIN LUTHER KING JR DR  SOUTH BL","CHICAGO","IL","60616","4","3","4-3","1","1010","Limited Business License",,,"1847540","RENEW",,"2008-11-14T00:00:00.000","2009-01-08T00:00:00.000","N","2009-01-16T00:00:00.000","2011-01-15T00:00:00.000","2009-01-08T00:00:00.000","2009-01-22T00:00:00.000","AAI",,,,,
"50776-20040216","1458339","56730","1","FREDERICK MCGEE","MCGEE'S REMODELING","1009 S 11TH AVE  1","MAYWOOD","IL","60153",,,,,"1011","Home Repair",,,"50776","RENEW",,"2003-12-15T00:00:00.000","2004-02-26T00:00:00.000","N","2004-02-16T00:00:00.000","2005-02-15T00:00:00.000","2003-12-22T00:00:00.000","2008-11-24T00:00:00.000","AAI",,,,,
"63024-19990216","275807","19866","1","SWISTUN, INC.","SWISTUN ALUMINUM INC","65 E PALATINE RD  117","PROSPECT HEIGHTS","IL","60070",,,,,"1010","Limited Business License",,,"63024","RENEW",,,"2008-02-28T00:00:00.000","N","1999-02-16T00:00:00.000","2000-02-15T00:00:00.000","2003-12-22T00:00:00.000","2008-02-28T00:00:00.000","AAI",,,,,
"67045-19990516","286129","59758","1","LAURENCE DUREKE","LA'VERA","12440 S ASHLAND AVE  1ST","CALUMET PARK","IL","60643",,,,,"1315","Mobile Food Dispenser",,,"67045","RENEW",,"2003-12-22T00:00:00.000",,"N","1999-05-16T00:00:00.000","2000-02-15T00:00:00.000","2001-03-23T00:00:00.000","2012-11-29T00:00:00.000","AAI",,,,,
"1927-20220916","2858237","62544","3","HYATT CORPORATION","CRYSTAL BALLROOM/PLAZA BALLROOM","151 E WACKER DR  PLAZA","CHICAGO","IL","60601","42","44","42-44","1","1477","Outdoor Patio","784","Sale of Liquor Outdoors on Private Property","1927","RENEW",,"2022-07-15T00:00:00.000","2022-08-05T00:00:00.000","N","2022-09-16T00:00:00.000","2024-09-15T00:00:00.000","2022-08-05T00:00:00.000","2022-08-08T00:00:00.000","AAI",,,,,
"39535-20060216","1660219","54914","1","RILEY HEATING & COOLING","RILEY HEATING & COOLING","16 N 9 TH AVE  1ST","MELROSE PARK","IL","60160",,,,,"1011","Home Repair",,,"39535","RENEW",,"2005-12-21T00:00:00.000","2006-01-27T00:00:00.000","N","2006-02-16T00:00:00.000","2007-02-15T00:00:00.000",,"2007-02-22T00:00:00.000","AAI",,,,,
"1888980-20160516","2454132","61178","3","NORTHERN BUILDERS INC","NORTHERN BUILDERS, INC.","5060  RIVER RD 1 1","SCHILLER PARK","IL","60176",,,,,"1010","Limited Business License",,,"1888980","RENEW",,"2016-03-15T00:00:00.000","2016-04-06T00:00:00.000","N","2016-05-16T00:00:00.000","2018-05-15T00:00:00.000","2016-04-06T00:00:00.000","2016-04-07T00:00:00.000","AAI",,,,,
"79838-20000216","310105","48577","1","NAZI ORAHA","IMPERIAL CLEANING SERVICE","26  STACY CT  1ST","GLENVIEW","IL","60025",,,,,"1010","Limited Business License",,,"79838","RENEW",,"2000-06-16T00:00:00.000","2010-05-14T00:00:00.000","N","2000-02-16T00:00:00.000","2001-02-15T00:00:00.000","2003-12-22T00:00:00.000","2010-05-17T00:00:00.000","AAI",,,,,
"2113456-20130916","2276800","365474","1","7 DAYS A WEEK INC.","7 DAYS A WEEK INC.","4714  MAIN ST  3C","LISLE","IL","60532",,,,,"1010","Limited Business License",,,"2113456","RENEW",,"2013-07-15T00:00:00.000",,"N","2013-09-16T00:00:00.000","2015-09-15T00:00:00.000","2016-04-07T00:00:00.000","2016-04-07T00:00:00.000","AAI",,,,,
"1121240-20130702","1121240","21818","3","PRECISION CONTRACTING SERVICES","PRESCISION CONTRACTING SERVICES","1011 E TOUHY AVE  210","DES PLAINES","IL","60018",,,,,"1010","Limited Business License",,,"1121240","C_LOC","2001-02-06T00:00:00.000","2001-02-06T00:00:00.000","2001-02-21T00:00:00.000","N","2013-07-02T00:00:00.000","2002-02-15T00:00:00.000","2003-01-03T00:00:00.000","2013-07-02T00:00:00.000","AAI",,,,,
"30465-20010216","1104543","31585","1","MELVIN ARMSTRONG","DMC REFRIGERATION HEATING & AC","17935  CHAPPEL AVE  MAIN","LANSING","IL","60438",,,,,"1010","Limited Business License",,,"30465","RENEW","2000-12-18T00:00:00.000","2000-12-19T00:00:00.000","2011-06-07T00:00:00.000","N","2001-02-16T00:00:00.000","2002-02-15T00:00:00.000","2003-12-22T00:00:00.000","2011-06-08T00:00:00.000","AAI",,,,,
"17220-20160516","2453785","28261","1","HOLLWAY MEYER'S INC","HOLLAWAY MEYER'S INC","950  165TH ST  1","HAMMOND","IN","46324",,,,,"1010","Limited Business License",,,"17220","RENEW",,"2016-03-15T00:00:00.000","2016-04-01T00:00:00.000","N","2016-05-16T00:00:00.000","2018-05-15T00:00:00.000","2016-04-01T00:00:00.000","2016-04-04T00:00:00.000","AAI",,,,,
"55461-20010216","1112535","57558","1","STERLING ELEVATOR SERVICE CO","STRERLING ELEVATOR SERVICE CO","2510 E DEMPSTER   208","DES PLAINES","IL","60016",,,,,"1010","Limited Business License",,,"55461","RENEW","2000-12-18T00:00:00.000","2000-12-19T00:00:00.000","2001-05-18T00:00:00.000","N","2001-02-16T00:00:00.000","2002-02-15T00:00:00.000","2001-07-28T00:00:00.000","2008-06-19T00:00:00.000","AAI",,,,,
