"crash_record_id","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"3016aeaada6b9fefb5810a8d4af0a1b2c4600a64fd81f286051a4a2b4659735011c742fece272a4beda647bd7c659f61e26145ab8413dcaa42ba9e745226d2e4",,"2024-05-09T00:50:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-05-09T00:55:00.000","FAILING TO REDUCE SPEED TO AVOID CRASH","NOT APPLICABLE","600","W","127TH ST","523",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","0","5","5","41.663368814","-87.636667526","POINT (-87.636667525519 41.663368814348)"
"77851285a449d86ae20c3e99e23b392fc2dfa7d0f8bc45e1c7ba09a9dc24fdd5fa67e0e52e42ca81374e6c15a8e95f6d70e03fa18804fe5055bc75a917304ee4",,"2024-05-09T00:50:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS","ANGLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,"Y","OVER $1,500","2024-05-09T00:50:00.000","FAILING TO YIELD RIGHT-OF-WAY","FAILING TO YIELD RIGHT-OF-WAY","4001","W","MONTROSE AVE","1722",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","0","5","5","41.960836305","-87.727886109","POINT (-87.72788610903 41.960836305309)"
"b429769df0f7721d6be30f0a4b326d304d88b9e1aa67bdf0345ea19d4d1c519fe3613ffc2b2034b0eb6ddd7f62ac01543adfed6ee7721480e31fc5ef2cf83ccb",,"2024-05-09T00:28:00.000","15","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","FIXED OBJECT","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,"Y","Y","OVER $1,500","2024-05-09T00:32:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","3200","N","KIMBALL AVE","1732",,,,,,,"1","NO INDICATION OF INJURY","0","0","0","0","0","1","0","0","5","5","41.939319663","-87.712641285","POINT (-87.712641285082 41.939319663188)"
"de67c4192001329ef1cc0fdfd8a95930f2987cd3d4b58c90793fdbd6f3eff96142ca55b3f859e34787ce01bfaa05ae95576873e6d95ff9c2ed03052111039014",,"2024-05-09T00:23:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS","ANGLE","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2024-05-09T00:25:00.000","DISREGARDING TRAFFIC SIGNALS","NOT APPLICABLE","4700","S","WESTERN BLVD","922",,,,,,,"2","NONINCAPACITATING INJURY","2","0","0","1","1","3","0","0","5","5","41.808369549","-87.684019397","POINT (-87.684019396719 41.808369548854)"
"fa9a288fb1f98ddcfe90a5622dea6b1c2c0657c8916dd85d66094e2781b09afe8665c68a7a5e6395cdfbcb928f41de0f27be7dd6d8af8a468cffa34f66d608d3","Y","2024-05-08T23:20:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","TURNING","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2024-05-09T00:05:00.000","DISREGARDING TRAFFIC SIGNALS","NOT APPLICABLE","10300","W","IRVING PARK RD","1654",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","23","4","5","41.958407524","-87.886333248","POINT (-87.886333247534 41.958407523899)"
"da9fabb68ca0968ab2e4ed3ec0a6cbcee1a95459089c9f1a3a102fa8165ff78e57864a7018c9d18ff1b175c82120f93abbdd39411e4c57e7877c880f6bc2990d",,"2024-05-08T23:09:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-05-08T23:09:00.000","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER","NOT APPLICABLE","45","W","71ST ST","731",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","5","0","23","4","5","41.765331899","-87.626734548","POINT (-87.626734547507 41.765331898962)"
"6c1d27315b7569a90b96fa97c07774a8ae5806f038b823e178a02e59b52a14da8247ee3a82e14c3663b8cea997c4c5e2c4896d01b5c90c92603a82d7a1e3cfb6",,"2024-05-08T22:50:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-05-08T23:15:00.000","FAILING TO YIELD RIGHT-OF-WAY","UNABLE TO DETERMINE","110","E","WACKER DR","114",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","4","5","41.888399095","-87.624029057","POINT (-87.624029056612 41.888399095334)"
"aa2677c94ed9ae6a46b2a746c314d828a593ead2ee33ef0b5861be6cf13f4dec0b10882642d858a848dda17a0248295348f49ac02531a7596a1f76ba78e5cf1b",,"2024-05-08T22:40:00.000","30","TRAFFIC SIGNAL","UNKNOWN","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-09T00:20:00.000","IMPROPER OVERTAKING/PASSING","NOT APPLICABLE","5507","S","HARLEM AVE","811",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","22","4","5","41.791671372","-87.801370702","POINT (-87.801370701529 41.791671372021)"
"724e79c30060d7db8b53b7371cbc38baaddf2f98ebd4d75c1881cc2fc242a9c5c3696d59c5c958a63ad1913cc3f9c34c279a2afc469d60c624a544c2d42ef60b",,"2024-05-08T21:58:00.000","30","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","ANGLE","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2024-05-08T22:28:00.000","DISREGARDING STOP SIGN","NOT APPLICABLE","2600","S","STEWART AVE","914",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","21","4","5","41.845384067","-87.63670008","POINT (-87.636700080302 41.845384067444)"
"4ba0ab57f925bc692984d81c30bcaf1cd3a749b0ea1826bc0bb98c305821b74b3ef7a3a554533a4a0d57570876e6ee1a554f24841e9ea9fbd780f4f9e3db11a1",,"2024-05-08T21:45:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS","SIDESWIPE SAME DIRECTION","T-INTERSECTION",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2024-05-08T22:45:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","140","E","WACKER DR","114","Y",,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","21","4","5","41.888386323","-87.622892528","POINT (-87.622892527578 41.888386323413)"
