"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"13449763","JH250155","2024-05-01T00:00:00.000","102XX S WALDEN PKWY","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","2213","022","19","72","14","1165650","1836741","2024","2024-05-08T15:41:27.000","41.707600727","-87.668996508","
,  
(41.707600727, -87.668996508)"
"13446885","JH246604","2024-05-01T00:00:00.000","115XX S ADA ST","0820","THEFT","$500 AND UNDER","STREET","false","false","0524","005","21","53","06","1169403","1828191","2024","2024-05-08T15:41:27.000","41.68405787","-87.655499307","
,  
(41.68405787, -87.655499307)"
"13445891","JH245432","2024-05-01T00:00:00.000","062XX S VERNON AVE","041A","BATTERY","AGGRAVATED - HANDGUN","APARTMENT","false","false","0313","003","20","42","04B","1180322","1863768","2024","2024-05-08T15:41:27.000","41.781442741","-87.61444066","
,  
(41.781442741, -87.61444066)"
"13446757","JH246647","2024-05-01T00:00:00.000","059XX S THROOP ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","STREET","true","false","0713","007","16","67","15","1168676","1865343","2024","2024-05-08T15:41:27.000","41.786023978","-87.657092032","
,  
(41.786023978, -87.657092032)"
"13445972","JH245506","2024-05-01T00:00:00.000","014XX N SEDGWICK ST","0810","THEFT","OVER $500","APARTMENT","false","true","1821","018","27","8","06","1173383","1909988","2024","2024-05-08T15:41:27.000","41.908430535","-87.638509526","
,  
(41.908430535, -87.638509526)"
"13452396","JH246734","2024-05-01T00:00:00.000","016XX W WALNUT ST","1750","OFFENSE INVOLVING CHILDREN","CHILD ABUSE","RESIDENCE","false","true","1215","012","27","28","08B",,,"2024","2024-05-08T15:41:27.000",,,
"13447341","JH247207","2024-05-01T00:00:00.000","0000X N HAMLIN BLVD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1122","011","28","26","08B","1151064","1899854","2024","2024-05-08T15:41:27.000","41.881088655","-87.720764494","
,  
(41.881088655, -87.720764494)"
"13448391","JH248539","2024-05-01T00:00:00.000","064XX S RICHARDS DR","0440","BATTERY","AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY","PARK PROPERTY","false","false","0331","003","5","42","08B","1189894","1862705","2024","2024-05-08T15:41:27.000","41.778300831","-87.579382212","
,  
(41.778300831, -87.579382212)"
"13449376","JH249857","2024-05-01T00:00:00.000","090XX S BISHOP ST","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","RESIDENCE","false","true","2222","022","21","73","26","1168252","1844810","2024","2024-05-08T15:41:27.000","41.729687816","-87.659236535","
,  
(41.729687816, -87.659236535)"
"13446202","JH245976","2024-05-01T00:00:00.000","016XX N MASON AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false","2531","025","29","25","14","1136499","1910347","2024","2024-05-08T15:41:27.000","41.910155609","-87.773995839","
,  
(41.910155609, -87.773995839)"
