"inspection_id","dba_name","aka_name","license_","facility_type","risk","address","city","state","zip","inspection_date","inspection_type","results","violations","latitude","longitude","location"
"2594221","JOEY G'S MAC AND CHEESE","JOEY G'S MAC AND CHEESE","2699530","Restaurant","Risk 1 (High)","959 N WESTERN AVE ","CHICAGO","IL","60622","2024-05-08T00:00:00.000","Canvass","Fail","2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CURRENT CITY OF CHICAGO FOOD MANAGER CERTIFICATE POSTED ON SITE. INSTRUCTED MANAGER TO PROVIDE ORIGINAL CITY OF CHICAGO FOOD MANAGER CERTIFICATE. PRIORITY FOUNDATION VIOLATION 7-38-012 CITATION ISSUED. | 22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED TCS FOODS STORED AT AN INADEQUATE TEMPERATURE OF 46 F. INSTRUCTED MANAGER TO ENSURE ALL COLD TCS FOODS ARE STORED AT 41 F AND BELOW. THE MANAGER DISCARDED 1/4 POUND SLICED TOMATOES AND 1 POUND SLICED TURKEY. PRIORITY VIOLATION 7-38-005 CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 25 RODENT DROPPINGS IN THE BASEMENT OF THE FACILITY. INSTRUCTED MANAGER TO REMOVE DROPPINGS AND SANITIZE AREA. OBSERVED LIVE RAT ACTIVITY ON SITE IN THE BASEMENT. PRIORITY FOUNDATION VIOLATION 7-38-020(A) CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED LARGE GAP AT BOTTOM OF SIDE DOOR. INSTRUCTED MANAGER TO SEAL DOOR.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED HEAVY CLUTTER IN THE BASEMENT AREA OF THE FACILITY. INSTRUCTED MANAGER TO DECLUTTER BASEMENT.","41.89933653799507","-87.686788170572","(41.89933653799507, -87.686788170572)"
"2594174","MARIANO'S 8515","MARIANO'S","2313619","Grocery Store","Risk 1 (High)","1800 W LAWRENCE AVE ","CHICAGO","IL","60640","2024-05-08T00:00:00.000","Short Form Complaint","Pass","16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: 4-602.11(B-E)  INSTRUCTED TO CLEAN AND MAINTAIN INTERIOR SURFACES OF ICE MACHINE (AROUND CHUTE) WITH CALCIUM BUILD-UP (BEHIND SEAFOOD SECTION). | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-201.11 OBSERVED WOOD ATTACHED TO WALL IN POOR REPAIR IN THE GRILL STATION. INSTRUCTED TO REMOVED OR REPAIR.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19 OBSERVED MILK CRATES ARE USED AS AS STORAGE SHELVES IN STAN'S DONUTS REAR STORAGE AREA. INSTRUCTED TO PROPERLY USE RAISED SHELVES 6' OFF THE FLOOR FOR EASY ACCESS OF CLEANING. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-602.13 INSTRUCTED TO DETAIL CLEAN AND MAINTAIN INTERIOR SURFACES OF REACH-IN COOLER IN REAR SEAFOOD PREP AREA. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15 INSTRUCTED TO REPAIR LEAKY DRAINPIPE UNDERNEATH 3RD COMPARTMENT (RINSE SINK) OF THE 4 COMPARTMENT SINK IN HOT FOODS PREP ARE/DISHWASHING AREA | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: 5-501.115 OBSERVED DEBRIS ON GROUND UNDER AND AROUND GARBAGE COMPACTOR/DUMPSTER IN REAR ENCLOSED AREA . INSTRUCTED TO CLEAN AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS IN BAR AREA AND FLOORS IN STARBUCKS REAR STORAGE AREA.","41.96892623664971","-87.67458649212242","(41.96892623664971, -87.67458649212242)"
"2594178","GRACE CHRISTIAN ACADEMY","GRACE CHRISTIAN ACADEMY","3491743","School","Risk 1 (High)","4106 W 28TH ST ","CHICAGO","IL","60623","2024-05-08T00:00:00.000","Canvass","Fail",,"41.84064044350548","-87.72721990630961","(41.84064044350548, -87.72721990630961)"
"2594173","MERCY HOME FOR BOYS AND GIRLS","MERCY HOME FOR BOYS AND GIRLS","3791","School","Risk 1 (High)","1140 W Jackson BLVD ","CHICAGO","IL","60607","2024-05-08T00:00:00.000","Canvass","Pass",,"41.87791559996099","-87.65621646106639","(41.87791559996099, -87.65621646106639)"
"2594217","DUSEK'S BOARD AND BEER / PUNCH HOUSE","DUSEKS","2262309","Restaurant","Risk 1 (High)","1223-1227 W 18TH ST ","CHICAGO","IL","60608","2024-05-08T00:00:00.000","Canvass","Out of Business",,"41.8578278479898","-87.65741657223244","(41.8578278479898, -87.65741657223244)"
"2594198","YUZU SUSHI AND ROBATA GRILL","YUZU SUSHI AND ROBATA GRILL","2379689","Restaurant","Risk 1 (High)","1751 W CHICAGO AVE ","CHICAGO","IL","60622","2024-05-08T00:00:00.000","Canvass Re-Inspection","Pass","47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.11 OBSERVED NO DRAIN PLUGS FOR THE 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO PROVIDE DRAIN PLUGS.","41.89588888391777","-87.67179636575219","(41.89588888391777, -87.67179636575219)"
"2594212","DAVID'S GRILL","DAVID'S GRILL","2326704","Restaurant","Risk 1 (High)","800 W CERMAK RD ","CHICAGO","IL","60608","2024-05-08T00:00:00.000","Canvass Re-Inspection","Pass",,"41.85275518449647","-87.64657985878995","(41.85275518449647, -87.64657985878995)"
"2594184","FERNANDO'S RESTAURANT","FERNANDO'S RESTAURANT","36911","Restaurant","Risk 1 (High)","3450 N LINCOLN AVE ","CHICAGO","IL","60657","2024-05-08T00:00:00.000","Complaint","Pass","38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 1/4 INCH GAP AT REAR EXIT DOULBE DOOR SWEEPS. MUST RODENT PROOF SAID DOORS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ICE BUILD UP ON FOOD WALK IN COOLER CONDENSER. MUST REMOVE ICE BUILD UP ON COOLER CONDENSER AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: CEILING LIGHT BULBS NOT WORKING ABOVE DISHMACHINE. INSTRUCTED MANAGER LIGHT BULBS MUST WORK ABOVE DISHMACHINE.","41.94458340838313","-87.67225084986538","(41.94458340838313, -87.67225084986538)"
"2594171","RUSH DAY SCHOOL","RUSH DAY SCHOOL","2225420","School","Risk 3 (Low)","2150 W HARRISON ST ","CHICAGO","IL","60612","2024-05-08T00:00:00.000","Canvass","Pass w/ Conditions","54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED OUTSIDE GARBAGE DUMPSTERS OVERFLOWING WITH TRASH, BOXES, AND LIDS WIDE OPEN WITH TRASH ABOVE RIM. INSTRUCTED TO HAVE DUMPSTER LID CLOSED AT ALL TIMES TO PREVENT FOOD SOURCE FOR PEST. PRIORITY FOUNDATION 7-38-020(B). CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOME FOOD DEBRIS, DUST, AND DIRT ON THE FLOOR UNDER THE HAND-WASHING SINK IN THE KITCHEN. MUST CLEAN FLOOR AND MAINATIN AT ALL TIMES.","41.874081965880684","-87.68092243741066","(41.874081965880684, -87.68092243741066)"
"2594218","UDUPI PALACE RESTAURANT","UDUPI PALACE RESTAURANT","30962","Restaurant","Risk 1 (High)","2543 W DEVON AVE ","CHICAGO","IL","60659","2024-05-08T00:00:00.000","Complaint","Fail","6. PROPER EATING, TASTING, DRINKING, OR TOBACCO USE - Comments: OBSERVED EMPLOYEE DRINKING COFFEE IN PREP AREA.EMPLOYEES MUST NOT DRINK FROM AN OPEN UNCOVERED CUP STORED IN THE FOOD PREP AREA. MUST PROVIDED COVER AND A STRAW. | 8. HANDS CLEAN & PROPERLY WASHED - Comments: OBSERVED EMPLOYEE IN THE DISHROOM HANDLING DIRTY DISHES AND PUT THEM THRU THE LOW TEMP DISH MACHINE AND WITHOUT PROPER HAND WASHING HANDLED AND STORED CLEAN DISHES ON SHELF. MUST WASH HANDS EVERY POSSIBLE CONTAMINATION. MANAGER CORRECTED THE ISSUE. PRIORITY CITATION :7-38-010,CITATION ISSUED | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: WE OBSERVED 10PPM  CHLORINE DETECTED AT THE FINAL RINSE OF THE LOW TEMPERATURE DISH MACHINE. MANAGEMENT INSTRUCTED TO REPAIR AND MAINTAIN THE MACHINE WITH A FINAL RINSE OF 100PPM CHLORINE. INSTRUCTED TO NOT TO USE UNIT. PRIORITY  VIOLATION 7-38-025. CITATION ISSUED - COS  AT 2:30PM TECHNICIAN REPORT ON SITE.PROBLEM SOLVED.PRESENTLY UNIT MAINATAINS 100PPM. | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: FOUND A PREP COOLER TURNED OFF. MANAGER STATED THEY ALREADY CALLED TECHNIAN, HOWEVER NO INVOICES PROVIDED. COOLER IS EMPTY. TAGGED UNIT 'HELD FOR INSPECTION' DO NOT USE. PRIORITY VIOLATION:7-38-005. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: FOOD STORED IN CONTAINER MUST HAVE A COMMON LABEL:SUGAR SALT,ETC. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: WE OBSERVED EVIDENCE OF 15 OR MORE) RAT DROPPINGS AT REAR STORAGE AND DISHMACHINE AREAS.EVIDENCE OF GNAWED CARDBOARD BOX (FOOD IN IT) ON SHELF IN STORAGE /PREP AREA. ALSO TWO RAT DROPPINGS ON TOP THE DISHMACHINE BY THE LARGE TRAP. INSTRUCTED TO CLEAN AND SANITIZE ALL AREAS IN PREP AREA. CONTACT PEST CONTROL. PRIORITY FOUNDATION VIOLATION: 7-38-020(A)CITATION ISSUED | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: MUST STORE WIPING CLOTHS IN PREP AREAS IN SANITIZER BUCKET BETWEEN USES TO PREVENT CROSS CONTAMINATION. INSTRUCTED TO MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST NOT USE MILK CRATES AS A MEANS OF ELEVATION FOR STORED ITEMS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MISSING /BROKEN HANDLE  AT  WHITE CHEST FREEZER. INSTRUCTED TO REPLACE SAID HANDLE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST PROVIDE PROPER SINK STOPPERS FOR THE THREE COMPARTMENT SINK PREENTLY ARE BROKEN | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: ADDITIONAL  FOOD HANDLER TRAINING CERTIFICATE IS REQUIRED ON SITE,INSTRUCTED TO PROVIDE | 60. PREVIOUS CORE VIOLATION CORRECTED - Comments: PREVIOUS CORE VIOLATIONS NOT CORRECTED FROM 11-21-2023,REPORT#2585584.  #36) 4-204.112(B)OBSERVED NO THERMOMETERS CONSPICUOUSLY PLACED IN ANY OF THE COOLING UNITS IN THE REAR PREP AREA. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE THERMOMETERS FOR ALL COLD HOLDING UNITS AND MAINTAIN. #39) 3-305.11 OBSERVED FOOD CONTAINERS STORED ON THE FLOOR IN THE REAR PREP AREA. INSTRUCTED THE PERSON IN CHARGE TO PROPERLY STORE AND PROTECT FOOD ITEMS FROM CONTAMINATION WHILE STORED BY ELEVATING AT LEAST SIX INCHES FROM THE FLOOR AND MAINTAINING. #49)4-602.13 OBSERVED FOOD DEBRIS ON THE INTERIOR SURFACE OF ALL REACH-IN COOLERS IN THE REAR PREP AREA. INSTRUCTED THE PERSON IN CHARGE TO DETAIL CLEAN AND MAINTAIN. #55) 6-501.12: OBSERVED GREASE BUILDUP, FOOD DEBRIS, AND DIRT ON THE FLOOR UNDER COOKING EQUIPMENT, ALONG WALLS, AND IN ALL CORNERS IN PREP, DISHWASHING, STORAGE INSTRUCTED THE PERSON IN CHARGE TO CLEAN FLOORS UNDER ALL EQUIPMENT, ALONG WALLS, AND ALL CORNERS IN ALL AREAS AND MAINTAIN. #56) 6-305.11: OBSERVED FOOD EMPLOYEE PERSONAL ITEMS STORED IN THE PREP AREA(SHOES AT REAR FOOD STORAGE ON  AND UNDER SHELF AND A JACKET ON TOP BOX IN PREP AREA. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE ORDERLY STORAGE AREA FOR EMPLOYEES CLOTHING AND OTHER POSSESSIONS AND MAINTAIN  PRIORITY FOUNDATION VIOLATION:7-42-090 CITATION ISSUED","41.997550032960476","-87.69402394650278","(41.997550032960476, -87.69402394650278)"
"2594182","KANELA BREAKFAST CLUB","KANELA BREAKFAST CLUB","2358636","Restaurant","Risk 1 (High)","1408 N MILWAUKEE AVE ","CHICAGO","IL","60622","2024-05-08T00:00:00.000","Complaint Re-Inspection","Pass",,"41.907424729614625","-87.6730736738879","(41.907424729614625, -87.6730736738879)"
"2594204","EPIPHANY ELEMENTARY SCHOOL","EPIPHANY SCHOOL","1878452","School","Risk 1 (High)","4223 W 25TH ST ","CHICAGO","IL","60623","2024-05-08T00:00:00.000","Canvass","Fail","5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED VOMIT AND DIAARHEA CLEAN UP KIT MISSING SUPPLIES (EYEWEAR, MASK, ETC.) DURING THE TIME OF INSPECTION. INSTRUCTED TO PROVIDE ALL SUPPLIES OUTLINED IN PROCEDURE KIT FOR RESPONDING TO INCIDENTS THAT MIGHT OCCUR ON PREMISE. PRIORITY FOUNDATION VIOLATION. PRIORITY FOUNDATION VIOLATION. #7-38-005. CITATION ISSUED. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED OUTSIDE RECEPTACLE AREA NOT MAINTAINED DURING TIME OF INSPECTION AND NO COMMERCIAL RECEPTACLE IN PLACE FOR TRASH REMOVAL. INSTRUCTED TO PROVIDE AND MAINTAIN ON-SITE TO PREVENT PEST HARBORAGE. PRIORITY FOUNDATION VIOLATION. # 7-38-020 (b). CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED WALL BASE DETACHED IN KITCHEN AREA BEHIND OVEN AND ALONSIDE COOLING UNIT. INSTRUCTED TO REATTACH.","41.84588739482061","-87.73049370588109","(41.84588739482061, -87.73049370588109)"
"2594225","T&J FOOD SERVICES LLC","SAUSAGE FEST","2966106","Mobile Food Preparer","Risk 2 (Medium)","135 N KEDZIE AVE ","CHICAGO","IL","60612","2024-05-08T00:00:00.000","License","Pass","39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: REMOVE THE ELECTRIC BUG ZAPPER STORED INSIDE OF THE FOOD PREP AREA.","41.88390509704504","-87.70605925083947","(41.88390509704504, -87.70605925083947)"
"2594199","YOKOCHO","YOKOCHO","2896466","Restaurant","Risk 1 (High)","167 N GREEN ST ","CHICAGO","IL","60607","2024-05-08T00:00:00.000","Canvass","Fail","10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGN AT HAND WASHING SINK IN EMPLOYEE RESTROOM. INSTRUCTED MANAGER TO PROVIDE. | 25. CONSUMER ADVISORY PROVIDED FOR RAW/UNDERCOOKED FOOD - Comments: OBSERVED MENU WITH A FOOTNOTE REMINDER STATEMENT ON THE MENU AND MISSING DISCLOSURE BY ASTERICKS FOR RELATED MENU ITEMS. INSTRUCTED TO PROVIDE BOTH DISCLOSURE STATEMENT AND REMINDER ON THE MENU FOR RAW OR UNCOOKED ANIMAL-BASED FOOD ITEMS OFFERED (EX., RAW OYSTERS, RAW TUNA, SALMON ETC.). (REFER TO THE ONLINE CDPH CONSUMER ADVISORY GUIDE). PRIORITY FOUNDATION VIOLATION #7-38-005.","41.88504417665877","-87.64847590715003","(41.88504417665877, -87.64847590715003)"
