"mural_registration_id","artist_credit","artwork_title","media","year_installed","year_restored","location_description","street_address","zip","ward","affiliated_or_commissioning","description_of_artwork","community_areas","latitude","longitude","location"
"19001","Kerry James Marshall","Rush More","Painting","2017",,"Chicago Cultural Center, West FaÃ§ade","78 E Washington St","60602","42","DCASE","This large-scale mural on the Chicago Cultural Center building is the culmination the cityâ€™s Year of Public Art. Made by internationally renowned Artist Kerry James Marshall, the 132 x 100-foot muralâ€”the largest artwork he has ever designed or createdâ€”honors 20 women who have shaped the cityâ€™s vibrant arts and cultural landscape. In explaining his choice of women, Kerry James Marshall said, â€œIn the history of monuments you have very few that represent women, but in the history of Chicago you have very many women that played key roles in establishing culture here. . . . My idea was to make a Forest Rushmore acknowledging the contribution of 20 women whoâ€™ve worked to shape the cultural landscape of the city, past and present.â€ The mural, executed by Artist Jeff Zimmerman, consists of trees as totems decorated by the womenâ€™s faces on the bottom. Up above are the park-like treetops, birds, a yellow-and-blue sun, and a ribbon that floats throughout the mural. 

The cross-cultural, multi-generational list of women include (left to right) actress and cofounder of Dearborn Homes Youth Drama Workshop Cheryl Lynn Bruce; founder of Chicago Childrenâ€™s Theatre Jacqueline Russell; former Chicago First lady and founder of After School Matters Maggie Daley; founder of the DuSable Museum of African American History Margaret Burroughs; founder of Little Black Pearl Monica Haslip; television host and producer Oprah Winfrey; poet Gwendolyn Brooks; former Chicago cultural affairs commissioner Lois Weisberg; actress/writer, and cofounder of Collaboraction theater, Sandra Delgado; journalist and writer Achy Obejas; founder of eta Creative Arts Foundation Abena Joan Brown; Poetry magazine founder Harriet Monroe; founder of Black Ensemble Theater Jackie Taylor; founder and Artistic director of Chicago Shakespeare Theater Barbara Gaines; former director of the Renaissance Society Suzanne Ghez; dancer and president of Muntu Dance Theatre of Chicago Joan Gray; dancer, choreographer, and founder of Ruth Page Center for the Arts Ruth Page; writer Sandra Ciseneros; Artist and cofounder of the AfricCobra  collective Barbara Jones-Hogu; Janes Saks, founder of Project & and the Ellen stone Belic Institute for the study of Women and Gender in the Arts and Media.

The mural is funded by Murals of Acceptance, whose goal is to bring art to all people in a free public setting.","38","41.88333428","-87.62505014","POINT (-87.62505014 41.88333428)"
"19043","Rahmaan Statik, Max Sansing","Sepia","Paint","2016",,,"2230 S Central Park Ave","60623","22","Chicago Public Art Group",,,"41.850922","-87.715009","POINT (-87.715009 41.850922)"
"19139","Hector Duarte","Honor Boricua",,"1993",,,"2601 W Evergreen Ave","60622","26","Chicago Public Art Group","Completed 1993. Artist Hector Duarte. This mural was made in collaboration with The Latin United Community Housing Association (LUCHA) depicts a beautiful Puerto Rican flag unfurling in a blue sky. In this mural the people are creating housing for themselves. From 1991","25","41.90560086","-87.69214278","POINT (-87.69214278 41.90560086)"
"19135","Mirtes Zwierzynski","Garfield Park Conservatory Alliance Mosaic",,"2007",,"N Hamlin Ave and Lake St","N Hamlin Ave and Lake St","60624","28","Chicago Public Art Group",,,"41.885114","-87.721068","POINT (-87.721068 41.885114)"
"19148","Ed Paschke","Luna Negra, 1998","Paint","2014",,"Outside left wall of building","5415 W Higgins Ave","60630","45","Ed Paschke Art Center",,"11","41.96872306","-87.76207536","POINT (-87.76207536 41.96872306)"
"19171","Jill Arena and Cyd Smillie","End of Watch","Paint","2011",,"West facing wall of Montrose retaining wall","4700 W Montrose Ave","60641","45",,"In 2011 Arts Alive Chicago was contacted with a request to paint a mural to honor an officer killed in the line of duty. When seeking permission from then Alderman John Arena we were instructed to honor all the officers who died in the line of duty. Jill Arena designed the mural with all 540+ names, Cyd Smillies led the paint team with some community volunteers. The bagpipe dedication included 16th and 17th district officers and commanders, families of fallen officers, and dignitaries. Officers and families were invited to fill in the badge numbers of their fallen loved ones. This mural features an officer saluting and grieving woman with the image of officer Flisk in her tear.","15","41.96086102","-87.74516953","POINT (-87.74516953 41.96086102)"
"19182","ASVP","Make Your Own Luck","Paint","2015",,,"1 E Balbo","60605","4","Wabash Arts Corridor",,"32","41.87298295","-87.62752137","POINT (-87.62752137 41.87298295)"
"19250","Tony Passero","Toro Totem","Paint","2017",,,"3176 N Kedzie Ave","60618","33",,,,"41.93931332","-87.70784365","POINT (-87.70784365 41.93931332)"
"19390","Cookie Kwan","Rocket",,"2021",,"Uptown Pho","1010 W Argyle St","60640","46","Uptown United",,,"41.97341501","-87.65542231","POINT (-87.65542231 41.97341501)"
"19418","Brett Whitacre","Old Town","Paint","2022",,"1307 North Clybourn, North Wall","1307 N Clybourn","60610","27",,"Sweeping letters wrapped in color and geometric shapes spell out Old Town on a vintage building surrounded by vacant lots in the heart of the city..","8","41.90585252","-87.64225862","POINT (-87.64225862 41.90585252)"
