"trip_id","taxi_id","trip_start_timestamp","trip_end_timestamp","trip_seconds","trip_miles","pickup_census_tract","dropoff_census_tract","pickup_community_area","dropoff_community_area","fare","tips","tolls","extras","trip_total","payment_type","company","pickup_centroid_latitude","pickup_centroid_longitude","pickup_centroid_location","dropoff_centroid_latitude","dropoff_centroid_longitude","dropoff_centroid_location"
"ac9c9cd082dbdbfb67fc062dcb74ed713820e47f","75cf3a53aae5e5858361a7ca64f75d3407dc0a44d7bc42843fd566a614cf1adcb57d543a15db44103c4801f879ceb236261b336079807dbfd2cd7a7775f166dc","2023-12-31T23:45:00.000","2023-12-31T23:45:00.000","439","0.98",,,"32","32","6.5","4","0","1","12","Credit Card","City Service","41.878865584","-87.625192142","POINT (-87.6251921424 41.8788655841)","41.878865584","-87.625192142","POINT (-87.6251921424 41.8788655841)"
"1d518052b3bcea69bdfec3508886d7551406202d","ea8e6df913a36562d8eddf662abe7722f4c0dc08527e9819364aed7a595eb61abb3728e49185db0616deb070840f410f6672275961076b6fcacc6bdfcf9edcf1","2023-12-31T23:45:00.000","2024-01-01T00:00:00.000","1080","8.9",,,"8","40","24.5","0","0","0","24.5","Cash","Taxi Affiliation Services","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.792357223","-87.61793138","POINT (-87.6179313803 41.7923572233)"
"6132f6fb53c7329ed2e12fef54749d2ffc3d4d2f","b71c6761efe32829e7e453b0c6fcb78a456a7d83c720c746ac0575025dd8c5e3cd6b554288cf71419c89931c34166201ab5f47fe928d5d18e377bad66b8750fc","2023-12-31T23:45:00.000","2024-01-01T00:00:00.000","1308","4.87",,,"8","23","16.25","0","0","0","16.25","Cash","Flash Cab","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.900069603","-87.720918238","POINT (-87.7209182385 41.9000696026)"
"e152a52aceb5d600a63311bbfe9b23ccdb9592dd","b56b31883524426035c290bfdbe4e038baccc814842c1003b8dba6caaa4ed640ba7bb17a6be5bbf96c6b5f6a6d3a3f0d62ea21510cadf75bca50b51c0371f60e","2023-12-31T23:45:00.000","2024-01-01T00:00:00.000","894","6.81",,,"8","3","17.3","2.02","0","0","19.32","Mobile","Sun Taxi","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)","41.96581197","-87.655878786","POINT (-87.6558787862 41.96581197)"
"ee7cce18a4b24e080366930ab5ec72d1aeb6556c","adb1cb74113851b651b474182fbe95a9663783779db8cca0fdc3ff7ac82cc8fe5d864b7f86a995c64e405fa6c89cd87d00b458108ebe0c62bc23c4c79e61da46","2023-12-31T23:45:00.000","2024-01-01T00:00:00.000","1310","18.23",,,"28","76","60","0","0","0","60.5","Credit Card","5 Star Taxi","41.874005383","-87.66351755","POINT (-87.6635175498 41.874005383)","41.980264315","-87.913624596","POINT (-87.913624596 41.9802643146)"
"5bf80daf02fc3a3bab75740a1f72ebc09d4b0fe2","4cebb9edbffeb3a0eace8cccef967730a62f5a978869e216e7855270c48891c6ba7575d0ffe0fc7e5347a411f4b4149a76bb8d65812d6c0607ff975eb7c7f566","2023-12-31T23:45:00.000","2024-01-01T00:15:00.000","1323","12.94",,,"76",,"33.25","5.89","0","5.5","45.14","Credit Card","5 Star Taxi","41.980264315","-87.913624596","POINT (-87.913624596 41.9802643146)",,,
"4f2165874756524b46ba42d39db0f5c59e1c159d","f9f12d79733b1fa7934f8d9bd17ca1927f3c99ded1640bbd1c77ef4f0e8a5992897a445315545bedf550405a9c5bc5a9f4b8b03c7d06a1f36050a32c9733164d","2023-12-31T23:45:00.000","2023-12-31T23:45:00.000","9","0",,,"33","33","3.25","0","0","47","50.75","Credit Card","Medallion Leasin","41.857183858","-87.620334624","POINT (-87.6203346241 41.8571838585)","41.857183858","-87.620334624","POINT (-87.6203346241 41.8571838585)"
"36323a8a14400312e7cee05020326b7bf8dc301e","624e8f2a6af3b7f032d3c40d6f925f6fc5f0bf6a358ecc7d01503a55553689cf6b36732e7d972a664d2d55e928baadb5d5d387884a6b0cf2701453f45c14a7cf","2023-12-31T23:45:00.000","2024-01-01T00:15:00.000","1440","15.4",,,"76","8","39","10.85","0","4","53.85","Credit Card","Taxicab Insurance Agency, LLC","41.980264315","-87.913624596","POINT (-87.913624596 41.9802643146)","41.899602111","-87.633308037","POINT (-87.6333080367 41.899602111)"
"dcfbaa5d01e81e18637185fc5e822d6a08456f59","2659a61c08f91c6efd9e7d7947a00006a7bc26aa518241786d51cb05c853cdd86fdd1adc4010867706a2daa9f0da856cb2d7a705c111d3c89e53f5499741247e","2023-12-31T23:45:00.000","2023-12-31T23:45:00.000","300","1.8",,,"76","7","7.5","4","0","1","13","Credit Card","Globe Taxi","41.980264315","-87.913624596","POINT (-87.913624596 41.9802643146)","41.922686284","-87.649488729","POINT (-87.6494887289 41.9226862843)"
"54fe3bc76d6f88ffd68f1e435693ad97c83eaeae","3506f62ee1c70c02fe00b742679684b319d5b712182f828f14b081888056485c3bd5911f60c194bcf0fb5986bb4f04b7d169ab0fd22cb63f0906af16d431395b","2023-12-31T23:45:00.000","2024-01-01T00:00:00.000","1539","15.88",,,"46","23","40","0","0","0","40","Prcard","Sun Taxi","41.741242728","-87.551428197","POINT (-87.551428197 41.7412427285)","41.900069603","-87.720918238","POINT (-87.7209182385 41.9000696026)"
