"tow_date","make","style","model","color","plate","state","towed_to_address","tow_facility_phone","inventory_number"
"2024-05-05T00:00:00.000","DODG","LL","TK","SIL",,"IL","10300 S. Doty","(773) 568-8495","2968877"
"2024-03-21T00:00:00.000","TOYT","PK",,"WHI","KHA4358","NC","701 N. Sacramento","(773) 265-7605","7086468"
"2024-04-27T00:00:00.000","FORD","VN",,"WHI","3241463B","IL","10300 S. Doty","(773) 568-8495","2968543"
"2024-02-15T00:00:00.000","KIA","LL",,"MAR","DU50223","IL","701 N. Sacramento","(773) 265-7605","7082540"
"2024-02-23T00:00:00.000","MITS","4D",,"MAR","EH30134","IL","701 N. Sacramento","(773) 265-7605","7083473"
"2024-04-05T00:00:00.000","TOYT","4D",,"BLU",,"IL","701 N. Sacramento","(773) 265-7605","7087953"
"2024-05-09T00:00:00.000","FORD","4D",,"MAR","473RPF","IN","701 N. Sacramento","(773) 265-7605","7090409"
"2024-03-18T00:00:00.000","MAZD","4D",,"DBL","912AB936","IL","701 N. Sacramento","(773) 265-7605","7086294"
"2024-05-05T00:00:00.000","NISS","LL","TK","GRY","DZ27454","IL","10300 S. Doty","(773) 568-8495","2968879"
"2024-04-05T00:00:00.000","HOND","4D",,"GRN",,"IL","701 N. Sacramento","(773) 265-7605","7087954"
"2024-02-22T00:00:00.000","CHEV","LL",,"BLK","EE22442","IL","400 E. Lower Wacker","(312) 744-7550","0297660"
"2024-04-18T00:00:00.000","TOYT","4D",,"GRN","3159792","IL","10300 S. Doty","(773) 568-8495","2968220"
"2024-05-01T00:00:00.000","DODG","4D",,"GRY","EJ22544","IL","10300 S. Doty","(773) 785-9752","1726282"
"2024-03-18T00:00:00.000","NISS","4D",,"RED","DZ21171","IL","701 N. Sacramento","(773) 265-7605","7086296"
"2024-05-05T00:00:00.000","HYUN","4D",,"GRY","CZ86863","IL","10300 S. Doty","(773) 568-8495","2968878"
"2024-04-21T00:00:00.000","CHEV","4D",,"GRY","CZ36389","IL","10300 S. Doty","(773) 568-8495","2968343"
"2024-03-26T00:00:00.000","HOND","LL",,"BRZ","EK79486","IL","400 E. Lower Wacker","(312) 744-7550","0299757"
"2024-03-23T00:00:00.000","NISS","LL",,"GRY","CQ83012","IL","10300 S. Doty","(773) 568-8495","2967010"
"2024-04-21T00:00:00.000","JEEP","LL",,"DBL","S495877","IN","10300 S. Doty","(773) 568-8495","2968344"
"2024-05-01T00:00:00.000","MAZD","4D",,"GRY","AR21337","IL","701 N. Sacramento","(773) 265-7605","7089813"
"2024-04-23T00:00:00.000","CHEV","4D",,"SIL","CU36971","IL","701 N. Sacramento","(773) 265-1846","1547310"
"2024-03-16T00:00:00.000","TOYT","VN","TK","BLU","BA47910","IL","701 N. Sacramento","(773) 265-7605","7085859"
"2024-04-02T00:00:00.000","VOLK","4D",,"WHI","DH74822","IL","10300 S. Doty","(773) 568-8495","0300166"
"2024-05-01T00:00:00.000","VOLK","LL",,"GRY",,,"701 N. Sacramento","(773) 265-7605","7089812"
"2024-04-05T00:00:00.000","BUIC","4D",,"TAN","DM37390","IL","10300 S. Doty","(773) 568-8495","2967711"
"2024-03-23T00:00:00.000","CHEV","LL",,"GRY","DK65093","IL","10300 S. Doty","(773) 568-8495","2967008"
"2024-05-01T00:00:00.000","TOYT","4D",,"WHI",,,"701 N. Sacramento","(773) 265-7605","7089809"
"2024-03-18T00:00:00.000","KIA","4D",,"WHI",,,"10300 S. Doty","(773) 568-8495","2966666"
"2024-04-29T00:00:00.000","CHEV","4D",,"BLU","17995LE","IL","10300 S. Doty","(773) 785-9752","1726255"
"2024-03-11T00:00:00.000","YAMA","MC",,"BLU",,"IL","701 N. Sacramento","(773) 265-7605","7085347"
"2024-04-29T00:00:00.000","HOND","LL",,"GRY","CV45877","IL","10300 S. Doty","(773) 785-9752","1726254"
"2024-05-09T00:00:00.000","JEEP","LL",,"RED","EL39648","IL","10300 S. Doty","(773) 568-8495","2969007"
"2024-05-09T00:00:00.000","TOYT","LK",,"BLU","DU55809","IL","10300 S. Doty","(773) 568-8495","2969006"
"2024-04-23T00:00:00.000","CHEV","4D",,"SIL","CU36971","IL","701 N. Sacramento","(773) 265-1846","1547310"
"2024-02-23T00:00:00.000","JEEP","LL","TK","BLK","AZ75368","IL","701 N. Sacramento","(773) 265-7605","7083472"
"2024-02-23T00:00:00.000","DODG","4T",,"ONG",,"IL","701 N. Sacramento","(773) 265-7605","7083471"
"2024-03-29T00:00:00.000","CHEV","LL",,"BLU","EC87128","IL","701 N. Sacramento","(773) 265-1846","1547195"
"2024-04-07T00:00:00.000","FORD","4D",,"GRY","AKY4070","WI","400 E. Lower Wacker","(312) 744-7550","0300476"
"2024-05-01T00:00:00.000","FORD","LL",,"BLU","DV70029","IL","10300 S. Doty","(773) 785-9752","1726283"
"2024-05-09T00:00:00.000","MAZD","4D",,"BLK","DA21771","IL","701 N. Sacramento","(773) 265-7605","7090407"
"2024-05-09T00:00:00.000","DODG","LL",,"GRY","EF60457","IL","701 N. Sacramento","(773) 265-7605","7090410"
"2024-04-07T00:00:00.000","ACUR","4D",,"GRY","N135384","IL","400 E. Lower Wacker","(312) 744-7550","0300483"
"2024-04-13T00:00:00.000","NISS","4D",,"BLK","EB96965","IL","701 N. Sacramento","(773) 265-7605","7088556"
"2024-04-23T00:00:00.000","FORD","4D",,"BLK",,"IL","701 N. Sacramento","(773) 265-1846","1547309"
"2024-04-18T00:00:00.000","NISS","4D","ALT","BLK","EA90110","IL","701 N. Sacramento","(773) 265-1846","1547290"
"2024-05-09T00:00:00.000","CHEV","4D",,"MAR",,"IL","10300 S. Doty","(773) 568-8495","2969008"
"2024-05-07T00:00:00.000","MAZD","LL",,"BLU","BN30744","IL","701 N. Sacramento","(773) 265-7605","7090299"
"2024-05-07T00:00:00.000","GMC","LL",,"WHI","TK358NQC","IN","701 N. Sacramento","(773) 265-1846","1547383"
"2024-05-01T00:00:00.000","VOLK","4D",,"GRY","ER23193","IL","10300 S. Doty","(773) 568-8495","2968678"
"2024-02-23T00:00:00.000","GMC","LL",,"DBL","BMX7077","TX","701 N. Sacramento","(773) 265-1846","1547018"
"2024-04-11T00:00:00.000","CHEV","4D",,"TAN","CR38067","IL","10300 S. Doty","(773) 568-8495","2967932"
"2024-03-18T00:00:00.000","DODG","LL","DUR","BLU",,,"10300 S. Doty","(773) 568-8495","2966665"
"2024-04-15T00:00:00.000","VOLV","LL",,"BLK","DPH231","MN","400 E. Lower Wacker","(312) 744-7550","0301027"
"2024-05-09T00:00:00.000","CHEV","4D",,"GRY","CT36186","IL","701 N. Sacramento","(773) 265-7605","7090412"
"2024-04-13T00:00:00.000","JEEP","LL",,"SIL",,"IL","701 N. Sacramento","(773) 265-7605","7088555"
"2024-05-09T00:00:00.000","JEEP","LL",,"GRY","S714144","IL","701 N. Sacramento","(773) 265-7605","7090415"
