"station_name","measurement_timestamp","air_temperature","wet_bulb_temperature","humidity","rain_intensity","interval_rain","total_rain","precipitation_type","wind_direction","wind_speed","maximum_wind_speed","barometric_pressure","solar_radiation","heading","battery_life","measurement_timestamp_label","measurement_id"
"Foster Weather Station","2024-05-10T01:00:00.000","10.67",,"79",,"0",,,"0","3.3","0","990.9","6",,"15.2","05/10/2024 1:00 AM","FosterWeatherStation202405100100"
"Oak Street Weather Station","2024-05-10T01:00:00.000","11.4","9.9","83","0","0","129.6","0","358","1.8","2.9","992.6","0","358","11.9","05/10/2024 1:00 AM","OakStreetWeatherStation202405100100"
"Foster Weather Station","2024-05-10T00:00:00.000","11.06",,"80",,"0",,,"0","3.3","0","991.2","5",,"15.2","05/10/2024 12:00 AM","FosterWeatherStation202405102400"
"Oak Street Weather Station","2024-05-10T00:00:00.000","11.8","10.3","83","0","0","129.6","0","13","3.5","5.1","993.1","0","358","11.9","05/10/2024 12:00 AM","OakStreetWeatherStation202405102400"
"Foster Weather Station","2024-05-09T23:00:00.000","10.67",,"79",,"0",,,"0","3.3","0","991.2","5",,"15.2","05/09/2024 11:00 PM","FosterWeatherStation202405092300"
"Oak Street Weather Station","2024-05-09T23:00:00.000","11.4","10","84","0","0","129.6","0","11","2","3","993","0","358","11.8","05/09/2024 11:00 PM","OakStreetWeatherStation202405092300"
"Foster Weather Station","2024-05-09T22:00:00.000","10.67",,"80",,"0",,,"0","3.3","0","991.2","5",,"15.2","05/09/2024 10:00 PM","FosterWeatherStation202405092200"
"Oak Street Weather Station","2024-05-09T22:00:00.000","11.6","10.3","85","0","0","129.6","0","10","2.3","6.4","993","0","358","12","05/09/2024 10:00 PM","OakStreetWeatherStation202405092200"
"Foster Weather Station","2024-05-09T21:00:00.000","10.78",,"80",,"0",,,"0","3.3","0","990.9","5",,"15.2","05/09/2024 9:00 PM","FosterWeatherStation202405092100"
"Oak Street Weather Station","2024-05-09T21:00:00.000","11.9","10.6","85","0","0","129.6","0","12","3","5.8","992.5","0","358","11.9","05/09/2024 9:00 PM","OakStreetWeatherStation202405092100"
